Fecha de facturacion,SKU,Unidades facturadas,Precio unitario en pesos argentinos,Categoria,Monto facturado
2024-10-23,HJ1060,27,7191.95,Tijeras de Podar,194182.65
2024-10-05,HJ1142,24,8576.12,Rastrillos,205826.88
2024-10-17,HJ1197,20,4120.75,Pulverizadores,82415.0
2024-10-12,HJ1143,39,8252.38,Rastrillos,321842.82
2024-10-12,HJ1105,26,1843.18,Rastrillos,47922.68
2024-10-07,HJ1039,26,2219.93,Palas,57718.18
2024-10-21,HJ1042,31,8455.8,Palas,262129.8
2024-10-17,HJ1150,81,8285.54,Pulverizadores,671128.74
2024-10-16,HJ1067,5,6981.31,Tijeras de Podar,34906.55
2024-10-13,HJ1094,33,4859.77,Tijeras de Podar,160372.41
2024-10-04,HJ1078,2,1372.4,Tijeras de Podar,2744.8
2024-10-09,HJ1181,52,4005.58,Pulverizadores,208290.16
2024-10-24,HJ1162,12,6737.14,Pulverizadores,80845.68
2024-10-08,HJ1126,75,3808.31,Rastrillos,285623.25
2024-10-20,HJ1152,22,8429.66,Pulverizadores,185452.52
2024-10-08,HJ1030,7,4736.49,Palas,33155.43
2024-10-23,HJ1096,10,4150.19,Tijeras de Podar,41501.9
2024-10-10,HJ1131,35,7539.61,Rastrillos,263886.35
2024-10-21,HJ1195,7,6178.26,Pulverizadores,43247.82
2024-10-18,HJ1197,22,4120.75,Pulverizadores,90656.5
2024-10-15,HJ1082,3,8104.94,Tijeras de Podar,24314.82
2024-10-13,HJ1135,11,1757.04,Rastrillos,19327.44
2024-10-23,HJ1123,10,8444.49,Rastrillos,84444.9
2024-10-08,HJ1186,31,10370.06,Pulverizadores,321471.86
2024-10-22,HJ1075,11,6523.87,Tijeras de Podar,71762.57
2024-10-21,HJ1192,2,5570.19,Pulverizadores,11140.38
2024-10-14,HJ1075,3,6523.87,Tijeras de Podar,19571.61
2024-10-02,HJ1088,17,6106.99,Tijeras de Podar,103818.83
2024-10-27,HJ1005,34,9981.47,Palas,339369.98
2024-10-17,HJ1132,72,1870.69,Rastrillos,134689.68
2024-10-20,HJ1114,7,4842.77,Rastrillos,33899.39
2024-10-25,HJ1030,13,4736.49,Palas,61574.37
2024-10-10,HJ1045,5,5201.88,Palas,26009.4
2024-10-02,HJ1005,22,9981.47,Palas,219592.34
2024-10-12,HJ1086,19,2517.24,Tijeras de Podar,47827.56
2024-10-06,HJ1123,6,8444.49,Rastrillos,50666.94
2024-10-16,HJ1076,3,6518.81,Tijeras de Podar,19556.43
2024-10-21,HJ1149,79,9192.03,Rastrillos,726170.37
2024-10-06,HJ1030,23,4736.49,Palas,108939.27
2024-10-16,HJ1017,3,9655.22,Palas,28965.66
2024-10-24,HJ1065,11,6369.85,Tijeras de Podar,70068.35
2024-10-17,HJ1152,78,8429.66,Pulverizadores,657513.48
2024-10-16,HJ1159,2,1603.75,Pulverizadores,3207.5
2024-10-24,HJ1165,6,9212.85,Pulverizadores,55277.1
2024-10-18,HJ1135,22,1757.04,Rastrillos,38654.88
2024-10-06,HJ1035,46,7918.56,Palas,364253.76
2024-10-19,HJ1086,16,2517.24,Tijeras de Podar,40275.84
2024-10-16,HJ1022,8,2797.22,Palas,22377.76
2024-10-02,HJ1056,25,6113.22,Tijeras de Podar,152830.5
2024-10-11,HJ1168,40,6900.51,Pulverizadores,276020.4
2024-10-14,HJ1113,56,3525.53,Rastrillos,197429.68
2024-10-11,HJ1115,51,7838.36,Rastrillos,399756.36
2024-10-26,HJ1061,42,10179.37,Tijeras de Podar,427533.54
2024-10-20,HJ1056,7,6113.22,Tijeras de Podar,42792.54
2024-10-08,HJ1136,28,9138.19,Rastrillos,255869.32
2024-10-24,HJ1149,14,9192.03,Rastrillos,128688.42
2024-10-11,HJ1143,39,8252.38,Rastrillos,321842.82
2024-10-22,HJ1200,6,5869.34,Pulverizadores,35216.04
2024-10-13,HJ1072,6,2634.16,Tijeras de Podar,15804.96
2024-10-08,HJ1168,43,6900.51,Pulverizadores,296721.93
2024-10-22,HJ1162,49,6737.14,Pulverizadores,330119.86
2024-10-21,HJ1005,38,9981.47,Palas,379295.86
